week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.7680519935243969,0.7442543495944048,0.7887936476238318,prophet
2021-08-03,0.7720843988828113,0.749755105363752,0.7940422762026871,prophet
2021-08-10,0.782165000081848,0.7607779011503554,0.8060205150912897,prophet
2021-08-17,0.7938877773886269,0.7687502720636222,0.8173561396627184,prophet
2021-08-24,0.8007814540453585,0.776403936535113,0.8226815049251175,prophet
2021-08-31,0.8010649151855994,0.7783587061098887,0.8259774955899502,prophet
2021-09-07,0.7990968532548628,0.775812049596736,0.825121374012941,prophet
2021-09-14,0.8003064532280602,0.777948043835094,0.8228953182108367,prophet
2021-09-21,0.8056866097362939,0.7824731071123953,0.830453702021932,prophet
2021-09-28,0.8117407738045148,0.7883822358403517,0.8357259922943083,prophet
2021-10-05,0.8150017228934516,0.791572861082284,0.838852413243531,prophet
2021-10-12,0.8153608717423123,0.7925109966370307,0.8402397500497937,prophet
2021-10-19,0.8148715659606897,0.7925822259797023,0.8392015008799172,prophet
2021-10-26,0.8146147911812973,0.790132782805998,0.8393194681130038,prophet
2021-11-02,0.814062730061228,0.7913463931301159,0.8383599661949165,prophet
2021-11-09,0.8133642534177544,0.7901028965585786,0.836084645878607,prophet
2021-11-16,0.8148027679001639,0.7933298152552,0.8377514216226094,prophet
2021-11-23,0.8207968526773665,0.7979288985690874,0.8438055321535732,prophet
2021-11-30,0.8305628112075127,0.8073210709784833,0.8543598503506149,prophet
2021-12-07,0.8396617390737515,0.8166077791963684,0.8642063060215047,prophet
2021-12-14,0.8434109050381248,0.8181179880556315,0.8668356136949719,prophet
2021-12-21,0.8406659233845266,0.8169405826520995,0.8631315873421462,prophet
2021-12-28,0.8342216956106536,0.8099221838685613,0.8584525448076319,prophet
2022-01-04,0.828011420170937,0.805984228317894,0.8523165579534824,prophet
2022-01-11,0.8243967900880321,0.802046799322271,0.8478968362065072,prophet
2022-01-18,0.8237600383533363,0.7987690466081719,0.8475179927567584,prophet
2022-01-25,0.825491014241374,0.803158665266867,0.8505741106152157,prophet
2022-02-01,0.8285208582313316,0.8067374779212021,0.8518705001034168,prophet
2022-02-08,0.8307756990638365,0.8065025004287717,0.8544633150581875,prophet
2022-02-15,0.8316497967626241,0.8074319305163006,0.85329962178211,prophet
