week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.4738048223733692,0.4029592648725321,0.5361531982052373,prophet
2021-08-03,0.46225268843009415,0.38923039521245223,0.5346502166742708,prophet
2021-08-10,0.4546939609842081,0.3830995822808275,0.524270444372868,prophet
2021-08-17,0.45817479354648066,0.392238054593576,0.524892031326172,prophet
2021-08-24,0.47160567810106235,0.4019532778054089,0.5453263537241474,prophet
2021-08-31,0.48966712174390636,0.4242825819002002,0.5580999214512856,prophet
2021-09-07,0.5070994000510594,0.4419125345861203,0.5784098703793193,prophet
2021-09-14,0.5193050380330659,0.44782265406121563,0.5894588019974679,prophet
2021-09-21,0.522511045866009,0.45224651424183937,0.5876160181799589,prophet
2021-09-28,0.5169984128961704,0.45270697640305174,0.5870004580052183,prophet
2021-10-05,0.5098842844916116,0.4390206789595215,0.578625237229561,prophet
2021-10-12,0.5110539817410721,0.44498884376680675,0.5761893467356445,prophet
2021-10-19,0.5235402382120866,0.4550022222042655,0.5905379094347437,prophet
2021-10-26,0.5388096939610199,0.4679148062738367,0.605313022231408,prophet
2021-11-02,0.5444195733702476,0.4703642418067305,0.6095998052284465,prophet
2021-11-09,0.5373850939353326,0.47318633645677044,0.6033385433038396,prophet
2021-11-16,0.5281754280442961,0.45996456649087547,0.5927514908806167,prophet
2021-11-23,0.5295835384731128,0.461251152408563,0.5992946778238462,prophet
2021-11-30,0.5423284426619994,0.47475616105637264,0.6064768818515547,prophet
2021-12-07,0.5540025708517105,0.4880671594306956,0.6230603096874618,prophet
2021-12-14,0.5529925265021326,0.48424042003665835,0.6184543169372073,prophet
2021-12-21,0.5414237582387496,0.47552587488260833,0.6074414425742366,prophet
2021-12-28,0.5321965628137808,0.46941093176732124,0.5978193795698848,prophet
2022-01-04,0.5339816638199022,0.4691301814060488,0.6022003353740515,prophet
2022-01-11,0.5421567256030376,0.47217176763358054,0.6132319211385089,prophet
2022-01-18,0.5460991545957486,0.4804922760170836,0.6123530660335657,prophet
2022-01-25,0.543328052990521,0.4715133966547705,0.6118117265457208,prophet
2022-02-01,0.542987205132448,0.47377495889136795,0.6056159976606796,prophet
2022-02-08,0.554576230435673,0.48442001156587355,0.6197288392779527,prophet
2022-02-15,0.5758963727785965,0.5045436862009095,0.6480430188377304,prophet
2022-02-22,0.5948833960897795,0.5242942494329849,0.6605316853050572,prophet
2022-03-01,0.6028161353351622,0.5358618037257542,0.6687171219880655,prophet
2022-03-08,0.6029288818630066,0.5356986277752506,0.6696834860476066,prophet
2022-03-15,0.6047775453466282,0.5430802399339805,0.6728152750221718,prophet
2022-03-22,0.6123349087667994,0.5435230035467192,0.6832841754465149,prophet
2022-03-29,0.6206643912716115,0.5478060395503895,0.6855220574395509,prophet
2022-04-05,0.6243144774150015,0.5565031285806034,0.6882210312301681,prophet
2022-04-12,0.6257447983242564,0.5569038826837378,0.6963490189191127,prophet
2022-04-19,0.6327481817994376,0.5626290695638773,0.6979694194655399,prophet
2022-04-26,0.6484082541167966,0.5766307308857919,0.711570758102083,prophet
2022-05-03,0.6666501838101442,0.5989028711307738,0.7384306444694316,prophet
2022-05-10,0.6790294373416742,0.611589049509501,0.7532119665284025,prophet
2022-05-17,0.6840374979301362,0.6163683301733125,0.7505721326158322,prophet
2022-05-24,0.6873680236322054,0.6204980382146373,0.7495447108654734,prophet
2022-05-31,0.6935323758110691,0.6251684910391171,0.7629217000559358,prophet
2022-06-07,0.7002280445522093,0.6330802193444158,0.7684816456674425,prophet
2022-06-14,0.7028069264011092,0.6328053130083855,0.7740991187690025,prophet
2022-06-21,0.7025803383010842,0.6367527052756051,0.7741646822554893,prophet
2022-06-28,0.7073144346716571,0.6383208634510227,0.7734018528266872,prophet
2022-07-05,0.722178629738933,0.655756994001071,0.7924899647061546,prophet
2022-07-12,0.7419887067863329,0.6758812667398408,0.8131186371237864,prophet
2022-07-19,0.7547731525463105,0.6904637636920421,0.8275536496165717,prophet
2022-07-26,0.7533674308160926,0.6851043865985713,0.8254223056540992,prophet
2022-08-02,0.7423507136192312,0.6699548180539451,0.8115535522936153,prophet
2022-08-09,0.7333309799806154,0.6633740811273398,0.7985445328091194,prophet
2022-08-16,0.7347140384409716,0.6682385983580887,0.7994031820157012,prophet
2022-08-23,0.7467149171141695,0.6802910912721456,0.8150147439370432,prophet
2022-08-30,0.764368300586556,0.695757356021082,0.8321170887067881,prophet
2022-09-06,0.7822621633409633,0.7162261296119071,0.8490636021133526,prophet
2022-09-13,0.7957298802589091,0.7265154275252929,0.8629450439069236,prophet
2022-09-20,0.8007021690646273,0.7303460160348411,0.8713939080970243,prophet
2022-09-27,0.7964221942783548,0.7304710504834687,0.8641869197183734,prophet
2022-10-04,0.7888368649621286,0.7213972275043536,0.858530500526396,prophet
2022-10-11,0.787988054613165,0.720326345938523,0.8606137542156883,prophet
2022-10-18,0.7987780936848796,0.7274136146767415,0.8632582452441092,prophet
2022-10-25,0.814536840469424,0.7428175435344301,0.8795277989004442,prophet
2022-11-01,0.8225101838131813,0.7574447883939376,0.8892891779969485,prophet
2022-11-08,0.8172852939386048,0.7484550503782972,0.8856085679720325,prophet
2022-11-15,0.8059181811075681,0.735720389741356,0.874042357880713,prophet
2022-11-22,0.8034558863238894,0.7335834302963796,0.8735949577935809,prophet
2022-11-29,0.8133810890647764,0.745380760348677,0.8843697135587743,prophet
2022-12-06,0.8249000665412582,0.7554159094536788,0.8910872964167654,prophet
2022-12-13,0.8250119969976684,0.7524195694842375,0.8888564738200841,prophet
2022-12-20,0.8130705364346924,0.7429774641336271,0.8791673700843208,prophet
2022-12-27,0.7989068451600367,0.7350756855132434,0.8695227427008028,prophet
2023-01-03,0.7951283664895734,0.728121919426704,0.865523329566013,prophet
2023-01-10,0.7994089290257496,0.7270725977455389,0.8638433998234646,prophet
2023-01-17,0.8011107278284693,0.7357925557347583,0.8694158408512728,prophet
2023-01-24,0.7955608556824677,0.7258354708514024,0.8634891216890955,prophet
2023-01-31,0.7903363288902506,0.7172889424509015,0.8580272811049706,prophet
2023-02-07,0.7959843372412234,0.7221931649889439,0.8649423259368568,prophet
2023-02-14,0.8107382588022543,0.7387652259236046,0.8809012724133501,prophet
2023-02-21,0.8254894398031458,0.7562749855362908,0.8931209018285037,prophet
2023-02-28,0.8299367402214856,0.7637857885322036,0.9001475232690492,prophet
2023-03-07,0.825189399800458,0.7574421751456637,0.8916106441412757,prophet
2023-03-14,0.8205783924111367,0.7495245877380953,0.8896301695638724,prophet
2023-03-21,0.8217101391730429,0.7535328379786608,0.8898576691181809,prophet
2023-03-28,0.8248658315031652,0.7562851718118104,0.8913872189827285,prophet
2023-04-04,0.8226938483524283,0.7578018897420852,0.8872241325130611,prophet
2023-04-11,0.8172351143822474,0.7409524663880592,0.8818860397398177,prophet
2023-04-18,0.8160118448928576,0.7462684672197117,0.8833543813662933,prophet
2023-04-25,0.8235953958070422,0.751559846368098,0.8900810045248116,prophet
2023-05-02,0.8353280119835302,0.7704871355993268,0.9044044242422379,prophet
