week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.5371852485489675,0.498922570290682,0.5753115720897162,prophet
2021-08-03,0.537509576901582,0.500728849836616,0.5736379910448394,prophet
2021-08-10,0.536944613099543,0.5007021520127957,0.5727466940122522,prophet
2021-08-17,0.53592185294929,0.4963593605506533,0.5731921607955617,prophet
2021-08-24,0.5348126827104136,0.4999268057055271,0.5731705594700778,prophet
2021-08-31,0.5335643043017569,0.49938320136778247,0.5676210124543851,prophet
2021-09-07,0.5325900896409912,0.4978046612904999,0.5711936420076598,prophet
2021-09-14,0.5331715247307197,0.49582258032356635,0.5699609428369949,prophet
2021-09-21,0.5362409226609861,0.49927155929551587,0.5724342558298342,prophet
2021-09-28,0.5408372977418455,0.504236094649147,0.5803083314847574,prophet
2021-10-05,0.5443591584947567,0.5082645426525032,0.5852824706660489,prophet
2021-10-12,0.5447097225260227,0.5079462846879723,0.5823415797756776,prophet
2021-10-19,0.5420866434212459,0.50276945410261,0.5781690051333813,prophet
2021-10-26,0.538506298063277,0.5001895774813883,0.5743708188427773,prophet
2021-11-02,0.5357451941462399,0.496631722211979,0.5733992332192646,prophet
2021-11-09,0.5340115720088918,0.4959609172594709,0.5723679453963314,prophet
2021-11-16,0.5324842603647332,0.4949252353524109,0.5698531952566827,prophet
2021-11-23,0.5306052192168096,0.4938443722606363,0.5666481372889136,prophet
2021-11-30,0.528525206697461,0.49248313738520394,0.5671004677668664,prophet
2021-12-07,0.5266344903641663,0.4887688076208668,0.5629040655890608,prophet
2021-12-14,0.5252918489758298,0.4890527428325806,0.5603038003523155,prophet
2021-12-21,0.5251280158671233,0.4865993323284475,0.5626683941568518,prophet
2021-12-28,0.5269908035359299,0.4893282098495636,0.5631625407524627,prophet
2022-01-04,0.5309169212585616,0.49436741394872435,0.568192566951676,prophet
2022-01-11,0.5352125591109099,0.4944029631392387,0.5711817381521863,prophet
2022-01-18,0.5372661113159404,0.5012988181693554,0.573782047341252,prophet
2022-01-25,0.5358540824484113,0.49702262019052496,0.5725105228144964,prophet
2022-02-01,0.5325682752266953,0.49444766631961756,0.5668445301382814,prophet
2022-02-08,0.5305525856334841,0.49218583467545296,0.5694550776842751,prophet
2022-02-15,0.531730790638588,0.4923297673830911,0.5681111710154843,prophet
2022-02-22,0.5354924914533615,0.4995640796168004,0.5741194374420304,prophet
2022-03-01,0.5400719248804111,0.5036521093424222,0.5746006669468274,prophet
2022-03-08,0.5445419530129563,0.5060665325333935,0.5804217613890544,prophet
2022-03-15,0.5487685811845779,0.5122665217222945,0.5856503463949309,prophet
2022-03-22,0.5516316194729289,0.5143401525481468,0.5915063087159685,prophet
2022-03-29,0.5507178669358814,0.5137657991609466,0.5897916486145285,prophet
2022-04-05,0.5447648384523429,0.5050201082839961,0.5825719174430808,prophet
2022-04-12,0.5366053979161607,0.5003990764282555,0.572244701118996,prophet
2022-04-19,0.5323155680410331,0.4956655321971611,0.5687620027754592,prophet
2022-04-26,0.5362127417042756,0.498348375214834,0.5748290280696159,prophet
2022-05-03,0.5464582003877341,0.5116181122344479,0.5858502714775582,prophet
2022-05-10,0.5562637944724924,0.5176352726828872,0.5928165229771761,prophet
2022-05-17,0.5600612428458862,0.5230959448897086,0.597453943538987,prophet
2022-05-24,0.5585071740409671,0.5215693279722398,0.5990852481019215,prophet
2022-05-31,0.5571968546253747,0.5178694798416122,0.5956375735637146,prophet
2022-06-07,0.5605812349429222,0.5211773068131772,0.5976913017506658,prophet
2022-06-14,0.5675428890862896,0.5316727590715835,0.6044183059979762,prophet
2022-06-21,0.5729847107511479,0.5380278762342348,0.6114005946677952,prophet
2022-06-28,0.5732092301246003,0.536757189186519,0.6106156480413395,prophet
2022-07-05,0.5692099367945134,0.5305122631878396,0.6056912845412907,prophet
2022-07-12,0.5649199715094674,0.5245718942174973,0.6024598694152187,prophet
2022-07-19,0.5630836557408617,0.5272015802813658,0.60149677706513,prophet
2022-07-26,0.5633292508058572,0.5252472765982508,0.6014716697205506,prophet
2022-08-02,0.5637447184488543,0.5264298988789277,0.6008022393306937,prophet
2022-08-09,0.5632910353883016,0.5241457191161535,0.6003635614952447,prophet
2022-08-16,0.5622717655188099,0.526756071529126,0.6006466477343929,prophet
2022-08-23,0.561142592013126,0.5274480117449486,0.6003651145808657,prophet
2022-08-30,0.5598810546707678,0.5238161552683015,0.5946281393057449,prophet
2022-09-06,0.5587467940913702,0.5232479177577338,0.5936079079226693,prophet
2022-09-13,0.5589121385150129,0.5238887892122497,0.5967465331100352,prophet
2022-09-20,0.5615073678175352,0.5228730369267193,0.5969680745163574,prophet
2022-09-27,0.5662460502831237,0.528468585578508,0.6037742606676906,prophet
2022-10-04,0.5704110656925193,0.5347921543032087,0.6088763099324546,prophet
2022-10-11,0.5716378854279733,0.5355959254587355,0.6095586434781339,prophet
2022-10-18,0.5696764171694612,0.5332371124751802,0.6056900847096155,prophet
2022-10-25,0.5663520881146031,0.5331138888145898,0.6043345369764999,prophet
2022-11-01,0.5636311922439512,0.5291729674824656,0.5991709752133743,prophet
2022-11-08,0.5620125063030228,0.5248023642715122,0.5987976775096391,prophet
2022-11-15,0.5617236527997449,0.5258624860912541,0.5997963952011992,prophet
2022-11-22,0.561126704420835,0.5259497885760651,0.5973451274315226,prophet
2022-11-29,0.5602666704150385,0.5243671275294735,0.599074145306797,prophet
2022-12-06,0.5595305245977802,0.5219089278727439,0.5966883526150115,prophet
2022-12-13,0.5592697538521255,0.5216960475998543,0.5937129909888993,prophet
2022-12-20,0.5600442995704304,0.522661524441245,0.5958787484092023,prophet
