week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.12711479052449676,0.1082017515489263,0.14676287227509593,prophet
2021-08-03,0.12942823711752885,0.10811358534329264,0.14895199860350025,prophet
2021-08-10,0.13152609798020448,0.1112387684825816,0.15167594489209443,prophet
2021-08-17,0.13207613952111164,0.11110628465142743,0.15246676559489988,prophet
2021-08-24,0.13128144276315137,0.11048464980426903,0.1514180996522392,prophet
2021-08-31,0.13119790639167803,0.11037371071152487,0.15155877638160412,prophet
2021-09-07,0.13389431168286303,0.11546758638892045,0.1553094538608061,prophet
2021-09-14,0.13931020895613586,0.11858975392848814,0.15893090531638374,prophet
2021-09-21,0.1451955214175465,0.12377338109281429,0.16541735176089536,prophet
2021-09-28,0.1491907049644714,0.12926472316342216,0.16918304467262715,prophet
2021-10-05,0.15068428599333725,0.13126473166491637,0.17041047119290145,prophet
2021-10-12,0.15052385257870507,0.12938284070640085,0.1713743448002577,prophet
2021-10-19,0.14937852487513298,0.13027208252171196,0.17010048414031287,prophet
2021-10-26,0.1471103524398544,0.12739407806049466,0.16655605830182457,prophet
2021-11-02,0.1439450348219155,0.1237566662653484,0.16456005343443514,prophet
2021-11-09,0.1415985254507842,0.12140954916294604,0.16054364121916836,prophet
2021-11-16,0.14232051494053247,0.1236912767632776,0.1627301169647559,prophet
2021-11-23,0.14648813765855317,0.12593130796106194,0.1659003901619749,prophet
2021-11-30,0.15158073754307094,0.13012824505345322,0.1723839229655187,prophet
2021-12-07,0.15412688492026472,0.13403464715799435,0.17342291347817163,prophet
2021-12-14,0.15280089030057237,0.1326106231981631,0.17217957611007859,prophet
2021-12-21,0.14945391033364167,0.12994448111937232,0.169245810382465,prophet
2021-12-28,0.14666739081286434,0.12752791592098214,0.16747728330867084,prophet
2022-01-04,0.14528567532005304,0.1260700917284956,0.16630961719259532,prophet
2022-01-11,0.14402371380765366,0.12432523807411283,0.16407434949449404,prophet
2022-01-18,0.1416278268101496,0.12089687460945232,0.16213446886958652,prophet
2022-01-25,0.13867771045537738,0.11880336948438949,0.15784424122519752,prophet
2022-02-01,0.1368900823131176,0.1160726249062752,0.15612032369759435,prophet
2022-02-08,0.13696834270145564,0.11800630067973643,0.15750886759023264,prophet
2022-02-15,0.13775468503047192,0.11731476503040521,0.1582576211328909,prophet
2022-02-22,0.13768686670335645,0.11716107176634499,0.1582181979387478,prophet
2022-03-01,0.13667096811194032,0.1159673362954303,0.15686087442581997,prophet
2022-03-08,0.13605926452044123,0.11584399409810135,0.15608948910605538,prophet
2022-03-15,0.13686358662880527,0.11736835231307463,0.15545772598232935,prophet
2022-03-22,0.13848834218478273,0.11812230740998918,0.15832873031414957,prophet
2022-03-29,0.13949604690115436,0.11892596546385173,0.1607466187519274,prophet
2022-04-05,0.13933408341861706,0.11987629787206877,0.1616092481398607,prophet
2022-04-12,0.1388484578113626,0.11947465937464427,0.1581584822940483,prophet
2022-04-19,0.13906053614848377,0.12031358674962249,0.1600750566711001,prophet
2022-04-26,0.13986381992625757,0.12025618187362773,0.15781834843726142,prophet
2022-05-03,0.1402626655094821,0.11999343848396693,0.16105742961741493,prophet
2022-05-10,0.13966369714453597,0.11900657852044658,0.15953211071313306,prophet
2022-05-17,0.13871637852648103,0.11764587453990583,0.15933744638276076,prophet
2022-05-24,0.13834999315614724,0.1188685939661656,0.15698587606750375,prophet
2022-05-31,0.13870528851627015,0.11926513291102761,0.15795691149605803,prophet
2022-06-07,0.13912459603729088,0.11858601451243604,0.15896269376954764,prophet
2022-06-14,0.13913417115538915,0.11867968493506222,0.15776765774780843,prophet
