week,yhat,yhat_lower,yhat_upper,model_used
2021-07-27,0.5921835734877385,0.5037026693261796,0.6761206708516404,prophet
2021-08-03,0.5885651200979878,0.5016408317207658,0.6728077341646846,prophet
2021-08-10,0.5958342784785835,0.5205925000638035,0.6776838056079564,prophet
2021-08-17,0.6107693197140491,0.5225770738301504,0.6944955973253609,prophet
2021-08-24,0.6171621606517951,0.5356334434246194,0.7004985157000492,prophet
2021-08-31,0.6013374223362363,0.5219929672716617,0.6828321869340672,prophet
2021-09-07,0.5667067080995791,0.4867601081140263,0.6542734721329782,prophet
2021-09-14,0.5322148382547531,0.444640595670176,0.6139703046426986,prophet
2021-09-21,0.5159095216485825,0.4376662511056608,0.5976494534448801,prophet
2021-09-28,0.5201002624156053,0.4419788969767797,0.6096891249070068,prophet
2021-10-05,0.5323504498350552,0.4469010183024907,0.6237815505736259,prophet
2021-10-12,0.5396523490777441,0.45539137232516413,0.6218553853537231,prophet
2021-10-19,0.5401812414329137,0.4555284422252419,0.6263483696503965,prophet
2021-10-26,0.5414729848737202,0.4579347204395368,0.6231436981701892,prophet
2021-11-02,0.5494356759522724,0.45562220305745055,0.6362790389571896,prophet
2021-11-09,0.5614419831224373,0.47975791849343286,0.6483389106507165,prophet
2021-11-16,0.5701158438915295,0.49049841122320526,0.6595782831001941,prophet
2021-11-23,0.5716327914556277,0.4881427555030799,0.6503889542416865,prophet
2021-11-30,0.5684866754251561,0.4797719872053206,0.6519248908202347,prophet
2021-12-07,0.5648213237956298,0.47216461500930573,0.6509570158142292,prophet
2021-12-14,0.561425830381358,0.478102311615872,0.6488317751743241,prophet
2021-12-21,0.5565835418011627,0.4731083783675638,0.6372576470217499,prophet
2021-12-28,0.5505474008218568,0.46910692804953674,0.6347864932978623,prophet
2022-01-04,0.5468291366653074,0.4585440682681056,0.631033417767121,prophet
2022-01-11,0.5482598176095675,0.4619392521248936,0.6263820865849523,prophet
2022-01-18,0.5531383087195816,0.47262052604599963,0.6352310298393924,prophet
2022-01-25,0.5569528528495523,0.4688165901164191,0.6399518324622128,prophet
2022-02-01,0.5579416737267422,0.47339390879408494,0.6387780087047342,prophet
2022-02-08,0.5594957607685374,0.47445540557198324,0.6395354799345202,prophet
2022-02-15,0.5661765381201285,0.48281475095350285,0.6465609830603937,prophet
2022-02-22,0.5777099960906894,0.4909007265568553,0.6540766248046879,prophet
2022-03-01,0.5884492623867575,0.5072830881066472,0.6677753694255499,prophet
2022-03-08,0.5931398938777879,0.5157202862767474,0.6770619723298598,prophet
2022-03-15,0.5925327676430048,0.5038281492090336,0.6767828437549063,prophet
2022-03-22,0.5924150059649513,0.5084672048228055,0.6773276816635555,prophet
2022-03-29,0.5973345359923868,0.514379974419465,0.6793235297939116,prophet
2022-04-05,0.6055655227263835,0.5225540839126379,0.6942307895129981,prophet
2022-04-12,0.6109485306273651,0.5264642166387533,0.6946845438704038,prophet
2022-04-19,0.6092842823347454,0.5191502026839889,0.691920446814209,prophet
2022-04-26,0.6028033576471636,0.5235352385319092,0.6832778057517552,prophet
2022-05-03,0.5985282484623742,0.5120620172906397,0.6883271042906198,prophet
2022-05-10,0.6010888808587489,0.512937085292003,0.677749685276728,prophet
2022-05-17,0.610595702115405,0.5266896608078244,0.70033153275711,prophet
2022-05-24,0.6189849532931779,0.5320640759967696,0.6992955842533225,prophet
2022-05-31,0.6163106235064827,0.5306515418584753,0.7002981907428466,prophet
2022-06-07,0.598441858764331,0.5155495717111406,0.6816722344905681,prophet
