week,yhat,yhat_lower,yhat_upper
2021-07-27,0.7466191480340013,0.7109250311197014,0.7830338305372515
2021-08-03,0.7312984482064563,0.6967810010678835,0.7672669916763069
2021-08-10,0.7212353403488514,0.6856599487768451,0.7567108665463363
2021-08-17,0.718605754862789,0.681319424205746,0.752099260772125
2021-08-24,0.7201313163816767,0.6821930277979071,0.7557971175575058
2021-08-31,0.7214066571932624,0.6854939392568108,0.7566635444386646
2021-09-07,0.7208445071292897,0.6827287322133047,0.753074967010186
2021-09-14,0.7199252018804355,0.6843708301966911,0.7577200541341516
2021-09-21,0.7201594741611029,0.6865792076567255,0.7558922499182266
2021-09-28,0.7202232775862889,0.6860597692540881,0.7558750361738721
2021-10-05,0.7165444606160355,0.6798011338048842,0.7500448725856631
2021-10-12,0.707236162435265,0.6725416396970362,0.7420701617668055
2021-10-19,0.6955843561943055,0.6606548746935955,0.731107711392625
2021-10-26,0.6889976745871059,0.6520446170745631,0.7265223874084145
2021-11-02,0.6933494149165045,0.6573617167788224,0.7265934166785257
2021-11-09,0.707483732145862,0.6698849786797776,0.7433151221775922
2021-11-16,0.723239959891832,0.6880722502196369,0.7585010278484575
2021-11-23,0.7314086864058855,0.699560933366017,0.7685949003320677
2021-11-30,0.7282270127095566,0.6959782135319292,0.7629069761489033
2021-12-07,0.7165099506366199,0.6774902657723705,0.7515429729906222
2021-12-14,0.7011226004635598,0.6659168095269589,0.7363191040256789
2021-12-21,0.6823732881041437,0.6456832902315203,0.7175222541639514
2021-12-28,0.6618985029282431,0.6263352757238693,0.6977998754157612
2022-01-04,0.640953361435735,0.6066891290213852,0.6750611418455876
2022-01-11,0.6244084016044483,0.5893254770815264,0.6599362390045508
2022-01-18,0.6175074251083488,0.580300801863141,0.649136464352607
2022-01-25,0.6205081588898326,0.5815969357788778,0.6553669713619944
2022-02-01,0.6274866833773521,0.5930692489828033,0.6621615524213796
2022-02-08,0.6290882122496733,0.5944738995755683,0.6645440894811215
2022-02-15,0.6248324094233916,0.5888357059687171,0.6602105438587617
2022-02-22,0.6176054358068359,0.5817549476725227,0.6523215070227963
2022-03-01,0.6111417871062211,0.5749354268775589,0.6483883001217764
2022-03-08,0.6056975079293088,0.5706120714365864,0.641682857508897
2022-03-15,0.5989363195258948,0.5637777360400212,0.635318910745532
2022-03-22,0.5902722727638946,0.5563102106617888,0.6265449449907899
2022-03-29,0.5826177356263034,0.5462603858076218,0.6167263207810444
2022-04-05,0.578844613965238,0.5438803823289381,0.6126409729276024
2022-04-12,0.5772027550757924,0.5402130137599297,0.6104904954582967
2022-04-19,0.5718364895719557,0.5354871010385124,0.6055771649020399
2022-04-26,0.5587180757754039,0.5253392973797346,0.5950374862637381
2022-05-03,0.5405087757189398,0.5042996009668053,0.5769353582949556
2022-05-10,0.5243722098570835,0.4884927873708959,0.5587525388584447
2022-05-17,0.5145144087600018,0.4795653452194044,0.55083682407271
2022-05-24,0.5075103788075034,0.47197214803502313,0.5427750614775297
2022-05-31,0.49591851692636263,0.4584978633457564,0.5302211206847772
2022-06-07,0.47678865495168987,0.44143078203493474,0.5090781411702369
2022-06-14,0.4561309300561474,0.4202576260591607,0.4875689864129994
2022-06-21,0.44431759143463695,0.4085978785359116,0.478933362597937
2022-06-28,0.44660431321488786,0.4098969817986513,0.4812656144316668
2022-07-05,0.4578532594789573,0.42232659652715915,0.4925638615828981
2022-07-12,0.4663534229414858,0.4318556137135293,0.5022480924396565
2022-07-19,0.46301931125010515,0.42849954691564346,0.5012221088435368
2022-07-26,0.447770429397235,0.4141551758661657,0.48340026243277406
2022-08-02,0.42821523770214087,0.393834615296448,0.4609863005807129
2022-08-09,0.41284110700821575,0.3765095850853914,0.44801331345751816
2022-08-16,0.4049940814442413,0.3670529356282606,0.43899112784905886
2022-08-23,0.40211726825855715,0.36668749551558905,0.4382335507174387
2022-08-30,0.3996457449780941,0.36681680215357115,0.43616029968716713
2022-09-06,0.395345910442988,0.3613526855840285,0.4329072672017477
2022-09-13,0.3903130045746591,0.35531468653852233,0.42507805288540246
2022-09-20,0.38632200953729134,0.35088009122348324,0.4211918740690615
2022-09-27,0.3826352058210047,0.34600630109423147,0.4165173120966983
2022-10-04,0.375855914510929,0.33875732557296034,0.41256328517595814
2022-10-11,0.36346259159026106,0.32990304451137525,0.39981355746449365
2022-10-18,0.3477310545824095,0.31284161043568637,0.3814446246406883
2022-10-25,0.335656924376634,0.3022982989059796,0.3709449480757124
2022-11-01,0.33387932341696075,0.29720223496283693,0.3715221380102118
2022-11-08,0.34269933879251857,0.30570170695257864,0.375427928450479
2022-11-15,0.35581913035485363,0.317236005366236,0.39168366941705807
2022-11-22,0.3627373406074815,0.32695062923937945,0.39701389449453134
2022-11-29,0.35843455707839134,0.3226265167969124,0.3928881745146506
2022-12-06,0.3447706416777795,0.30702882290890754,0.37858551267680124
2022-12-13,0.32667449494133344,0.2906361134449681,0.3622132291097054
2022-12-20,0.30698707420601196,0.2732524496524289,0.3390695418274021
2022-12-27,0.2891150128325882,0.2526072725854964,0.32636179056323655
2023-01-03,0.270276343979499,0.23456446167960435,0.30567883560368636
2023-01-10,0.25478393743227545,0.21958668057777064,0.2896072660826507
2023-01-17,0.248232443399649,0.2129750805835905,0.28420621857186595
2023-01-24,0.25204491356414377,0.2147345252989308,0.28759142903566864
2023-01-31,0.2611864443062279,0.22463161009813007,0.29453545026638794
